EAN;Eindeutige ID;Lieferzeit/Verfügbarkeit;Preis in Euro (inkl. MwSt);Versandkosten in Euro;Bestand;Hersteller;Kategorie im Shop;Link Produktdetailseite;Produktname;Produktbeschreibung;URL Produktbild;
644812026638;0014;"sofort lieferbar";32.09;5.9;34;;"Drogerie, Sport & Beauty ";https://www.kaufbei.tv/art/5D8CsUKzDI0xxfRdJ8thMa/;"Backnetix Akupressur-Bandage";"Backnetix Akupressur-Bandage";https://www.kaufbei.tv/out/pictures/master/product/1/0014_backnetix_bandage_4.jpg
9010041042724;0016;"sofort lieferbar";42.69;5.9;85;Livington;"Kochmesser & Messerschärfer";https://www.kaufbei.tv/art/2FgMufAN3Wk0qsvurZfxyb/;"1+1 Set: 2 x Livington Blade Star Messerschärfer 3-in-1";"1+1 Set: 2 x Livington Blade Star Messerschärfer 3-in-1";https://www.kaufbei.tv/out/pictures/master/product/1/levington(1).png
4066614022018;0026;"sofort lieferbar";32.09;5.9;26;;Verbandsmaterial;https://www.kaufbei.tv/art/3IJeXefbtbn8Mb3kFccjZR/;"Formuclear Skin Tag Patch Mittel zur Warzen-Entfernung";"Formuclear Skin Tag Patch Mittel zur Warzen-Entfernung";https://www.kaufbei.tv/out/pictures/master/product/1/0026_warzenpflaster.jpg
4066614022025;0039;"sofort lieferbar";42.79;5.9;41;;"Putz- & Waschartikel";https://www.kaufbei.tv/art/6Y6eCfZSZd79fczkwwZCX5/;"Starlyf Autoclean Mop - selbstreinigender Mopp";"Starlyf Autoclean Mop - selbstreinigender Mopp";https://www.kaufbei.tv/out/pictures/master/product/1/0039_autocleanmop_1.jpg
644812050091;0071;"sofort lieferbar";42.79;5.9;112;;Lebensmittel;https://www.kaufbei.tv/art/1f1B1XdtXrpczHrN20ghht/;"RXB COMPLEX Nahrungsergänzungsmittel bei Muskel- und Gelenkschmerzen, 30 Kapseln";"RXB COMPLEX Nahrungsergänzungsmittel bei Muskel- und Gelenkschmerzen, 30 Kapseln";https://www.kaufbei.tv/out/pictures/master/product/1/0071_rxbcomplex_1.jpg
4066614021783;0072;"sofort lieferbar";32.09;5.9;47;;"Drogerie, Sport & Beauty ";https://www.kaufbei.tv/art/3DFtCgPUgtF13kbyr76Ybj/;"Velform Slen 30 Body Sculpting Gel 200 ml";"Velform Slen 30 Body Sculpting Gel 200 ml";https://www.kaufbei.tv/out/pictures/master/product/1/0072_slen30_1.jpg
4066614021790;0082;"sofort lieferbar";42.69;5.9;1;;Nahrungsmittel;https://www.kaufbei.tv/art/55t7pynhhkR6lmD5MdNTJ0/;"RXB Male RXB Male - Nahrungsergänzungsmittel zur Steigerung der sexuellen Leistungsfähigkeit 60 Kapseln";"RXB Male RXB Male - Nahrungsergänzungsmittel zur Steigerung der sexuellen Leistungsfähigkeit 60 Kapseln";https://www.kaufbei.tv/out/pictures/master/product/1/0082_rxb_male_1.jpg
4260404831396;10000035;"sofort lieferbar";21.39;5.9;241;MAXIMUS;"Elektronik & Multimedia";https://www.kaufbei.tv/art/2l09OG3uRJWl93BQVqqr6p/;"Ersatzfernbedienung für MAXIMUS NEU";"Ersatzfernbedienung für MAXIMUS NEU";https://www.kaufbei.tv/out/pictures/master/product/1/maximus_fernbedienung_ohne_logo.jpg
4066614021806;10003054;"sofort lieferbar";34.24;5.9;2;;Schmuck;https://www.kaufbei.tv/art/2fNaXjhARvZhpJWxPfViDU/;"Ohrhänger aus 925 Silber mit Amethyst";"Ohrhänger aus 925 Silber mit Amethyst";https://www.kaufbei.tv/out/pictures/master/product/1/10003054.jpg
644812044809;10025;"sofort lieferbar";42.79;5.9;52;;"Sonstige Küchenkleingeräte";https://www.kaufbei.tv/art/6OTETLNe9qnJf0Y7646Uo7/;"Kompakter Elektroherd Express Cooker";"Kompakter Elektroherd Express Cooker";https://www.kaufbei.tv/out/pictures/master/product/1/10025.jpg
